q-max	action	timestep
2.885	FIRE	746
2.883	FIRE	1099
2.173	RIGHT	1240
3.047	FIRE	1267
2.271	FIRE	1283
2.244	LEFT	1288
2.356	RIGHT	1295
3.232	FIRE	1508
3.201	FIRE	1551
2.120	RIGHT	1568
1.674	LEFT	1703
1.382	FIRE	1711
1.774	NOOP	164
2.137	LEFT	178
2.623	LEFT	228
1.911	NOOP	305
2.188	LEFT	324
2.369	LEFT	332
2.276	NOOP	390
1.623	NOOP	478
1.800	LEFT	544
2.643	FIRE	635
1.728	LEFT	643
2.850	FIRE	770
2.766	FIRE	1196
2.890	FIRE	1269
2.461	FIRE	1303
2.021	NOOP	1340
2.757	NOOP	1428
3.297	FIRE	1646
3.012	FIRE	1846
2.523	RIGHT	2005
3.089	FIRE	2032
1.626	RIGHT	283
2.522	NOOP	324
1.838	NOOP	354
2.631	RIGHT	462
2.192	FIRE	512
2.536	LEFT	569
2.061	NOOP	590
2.605	FIRE	605
2.551	NOOP	724
2.451	NOOP	817
2.704	LEFT	933
2.974	FIRE	940
2.781	FIRE	965
2.223	NOOP	978
2.756	FIRE	1000
2.047	NOOP	1034
2.292	FIRE	1326
2.590	LEFT	1375
2.254	LEFT	1553
2.261	LEFT	1554
2.802	LEFT	1685
2.853	RIGHT	1750
2.389	NOOP	1809
2.339	LEFT	1876
1.899	RIGHT	2249
2.389	LEFT	40
2.487	FIRE	142
2.173	LEFT	375
1.827	NOOP	845
2.750	LEFT	1081
2.276	NOOP	1153
2.233	RIGHT	1287
2.686	FIRE	1320
2.059	FIRE	1357
2.038	LEFT	1382
3.013	FIRE	1497
3.021	RIGHT	1501
2.458	RIGHT	1850
2.929	RIGHT	1867
2.522	FIRE	1917
2.386	FIRE	1981
3.179	NOOP	2167
2.399	LEFT	81
1.805	NOOP	399
1.894	LEFT	473
2.007	NOOP	475
2.286	NOOP	491
2.361	NOOP	623
2.331	NOOP	700
2.622	LEFT	907
2.606	LEFT	981
2.502	LEFT	1045
1.754	NOOP	1107
1.967	NOOP	1186
2.206	LEFT	1203
1.825	NOOP	1354
2.591	FIRE	1470
2.707	RIGHT	1530
2.797	LEFT	1532
2.419	NOOP	1563
2.619	FIRE	1638
2.067	RIGHT	1659
2.637	FIRE	1708
1.898	RIGHT	1761
2.994	FIRE	1947
2.722	FIRE	2008
3.287	LEFT	2110
3.601	NOOP	2228
2.763	LEFT	2289
2.450	LEFT	259
1.727	NOOP	329
2.247	LEFT	413
2.744	FIRE	650
2.811	FIRE	712
2.746	FIRE	753
2.847	FIRE	764
2.257	RIGHT	1010
2.613	FIRE	1173
2.274	FIRE	1271
1.928	RIGHT	1324
2.217	NOOP	1336
2.331	NOOP	1391
1.943	LEFT	1426
2.714	LEFT	1608
2.008	NOOP	1634
2.619	LEFT	1729
2.645	FIRE	1731
1.989	NOOP	1764
2.838	RIGHT	1840
3.163	FIRE	2109
3.064	FIRE	2289
2.488	FIRE	76
2.444	LEFT	190
1.987	RIGHT	235
1.836	RIGHT	264
2.003	NOOP	271
2.150	LEFT	284
1.850	LEFT	484
2.463	LEFT	700
2.569	LEFT	741
2.697	FIRE	776
2.174	NOOP	1096
2.822	LEFT	1120
2.868	LEFT	1201
2.804	NOOP	1266
3.224	LEFT	1277
3.043	FIRE	1338
2.980	FIRE	1478
3.104	FIRE	1554
3.246	LEFT	1609
2.720	NOOP	1703
2.451	NOOP	1761
3.177	LEFT	1820
1.521	NOOP	1883
1.974	LEFT	21
2.286	LEFT	390
2.264	NOOP	394
2.523	FIRE	412
1.897	NOOP	435
1.673	RIGHT	721
2.084	RIGHT	791
1.875	NOOP	904
2.631	FIRE	1023
2.893	FIRE	1097
2.582	NOOP	1326
2.101	NOOP	1425
2.774	RIGHT	1514
2.602	LEFT	1540
2.701	NOOP	1544
2.134	NOOP	1730
2.859	RIGHT	1862
3.261	FIRE	1935
3.496	RIGHT	2154
10.577	FIRE	2214
4.969	RIGHT	2312
2.167	FIRE	2491
2.349	NOOP	121
2.555	NOOP	133
1.893	NOOP	154
2.399	NOOP	204
1.774	NOOP	279
1.733	NOOP	404
1.869	NOOP	606
2.005	NOOP	614
1.900	RIGHT	674
1.985	NOOP	747
2.661	LEFT	799
2.203	NOOP	892
